WFST_ID,ra,dec,z,z_err,z_type,confidence,t0_mcmc,t0_err,tE_mcmc,tE_err,u0_mcmc,u0_err,A_max,g_s,g_base,r_s,r_base,i_s,i_base,chi2,dof,chi2/dof,source,type,external_match,logMBH_lamost,logMBH_method_lamost,logL_lamost,logL_wave_lamost,broad_fwhm_lamost,broad_ew_lamost,logMBH_SDSSDR16Q,logMBH_method_SDSSDR16Q,logL_SDSSDR16Q,logL_wave_SDSSDR16Q,broad_fwhm_SDSSDR16Q,broad_ew_SDSSDR16Q
WFST_346943726+04769690,346.9437256,4.76968956,1.4,,spec,med,59513.42,+3.49/-3.61,243.57,+9.95/-8.00,0.595,+0.019/-0.033,1.90,19.99,19.92,20.10,19.49,20.09,19.35,1282.1,870,1.47,"LAMOST_DR1_5,QUAIA_G20_5,MILLIQUAS,QZO,GAIA,CATWISE,PS1,WISE_R90",Q,-,9.409509,MgII,45.274346,3000,8703.772,50.401,9.401353,MgII,45.523517,3000,7217.488998,28.032489
WFST_350432638+46793603,350.43263834431434,46.79360290676521,0.686,0.2228660017251968,phot,med,59633.06,+1.62/-1.65,326.93,+9.03/-7.18,0.486,+0.012/-0.018,2.24,20.09,20.06,20.07,19.88,,,2919.1,1463,2.00,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_353370571+23681244,353.3705708,23.681244,0.76,,spec,med,59357.99,+1.62/-1.51,530.65,+83.45/-65.74,0.355,+0.068/-0.061,2.95,20.16,18.91,20.13,18.87,20.25,18.83,2268.0,1384,1.64,"MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",QR,-,,,,,,,8.865707,MgII,45.260284,3000,4700.729133,43.721752
WFST_359090794+17588571,359.09079376649566,17.588571471327217,0.6231252318945811,2.164198501064711e-05,spec,med,58944.56,+1.36/-1.29,264.86,+41.00/-35.72,0.545,+0.128/-0.104,2.03,19.39,18.80,19.45,18.73,,,2441.9,1158,2.11,"DESI_DR1,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_007589835+15814149,7.589834741692397,15.814149214406909,1.002394518499538,0.0001023696379926,spec,low,59762.67,+3.66/-3.64,371.37,+9.67/-9.10,0.418,+0.010/-0.012,2.55,20.81,20.79,20.61,20.50,,,1923.5,744,2.59,"DESI_DR1,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1",unknown,-,,,,,,,,,,,,
WFST_009968677+08603068,9.968677139146648,8.603067710631844,1.1589933172528075,0.0002297657312526,spec,low,58745.79,+4.90/-4.90,306.58,+23.69/-15.58,0.617,+0.039/-0.071,1.84,20.31,20.16,20.41,19.76,20.25,19.78,1524.5,873,1.75,"DESI_DR1,MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",Q,-,,,,,,,8.837322,MgII,45.219027,3000,4685.569749,47.359260
WFST_010143058+25735921,10.143057938966768,25.73592060984897,0.96,0.1878573370933533,phot,low,58899.66,+2.60/-2.57,456.12,+21.74/-17.29,0.461,+0.017/-0.020,2.34,20.97,20.93,20.79,20.46,20.57,20.47,1792.8,1043,1.72,"QUAIA_G20_5,JPLUSDR3,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_010410662+08536823,10.410662488382798,8.536823194746058,2.254488599625235,0.0001531609816466,spec,low,58906.37,+3.11/-3.48,475.29,+39.62/-25.14,0.697,+0.051/-0.077,1.68,19.81,19.63,19.83,19.41,20.21,19.20,1318.6,1003,1.31,"DESI_DR1,LAMOST_DR1_5,MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1",Q,-,9.14971,CIV,45.546727,1350,6838.678,0.366,9.197936,CIV,46.015304,1350,5431.408483,38.517824
WFST_013516370-11509543,13.516369527393266,-11.509543367724794,0.711166262626648,0.0607188702964782,phot,low,59298.69,+2.14/-2.15,334.04,+6.68/-6.46,0.545,+0.009/-0.010,2.03,19.51,19.49,19.76,19.47,19.70,19.17,1466.5,594,2.47,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_015317134-03022340,15.3171341,-3.0223398,1.031,,spec,low,59467.08,+2.50/-2.48,114.54,+6.13/-5.54,0.670,+0.022/-0.038,1.73,20.10,20.04,20.00,19.74,20.17,19.70,1281.3,672,1.91,"MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",Q,-,,,,,,,8.550797,MgII,45.181624,3000,3460.152016,26.074560
